Freq (Hz),dB,sn,path,temp
27500000000.0,1.4789385677322318,RXEM1-000036,1,-20.0
27550000000.0,1.4957297679280903,RXEM1-000036,1,-20.0
27600000000.0,1.5125209681239489,RXEM1-000036,1,-20.0
27650000000.0,1.5293121683198074,RXEM1-000036,1,-20.0
27700000000.0,1.546103368515666,RXEM1-000036,1,-20.0
27750000000.0,1.5628945687115245,RXEM1-000036,1,-20.0
27800000000.0,1.579685768907383,RXEM1-000036,1,-20.0
27850000000.0,1.5964769691032414,RXEM1-000036,1,-20.0
27900000000.0,1.6036440205689917,RXEM1-000036,1,-20.0
27950000000.0,1.611291027403912,RXEM1-000036,1,-20.0
28000000000.0,1.5931337162339212,RXEM1-000036,1,-20.0
28050000000.0,1.5724364748995674,RXEM1-000036,1,-20.0
28100000000.0,1.5259103070136741,RXEM1-000036,1,-20.0
28150000000.0,1.4818502029193255,RXEM1-000036,1,-20.0
28200000000.0,1.51478772495077,RXEM1-000036,1,-20.0
28250000000.0,1.4985839725322094,RXEM1-000036,1,-20.0
28300000000.0,1.4984756860197803,RXEM1-000036,1,-20.0
28350000000.0,1.4674802289845252,RXEM1-000036,1,-20.0
28400000000.0,1.415219553601721,RXEM1-000036,1,-20.0
28450000000.0,1.3850120814306874,RXEM1-000036,1,-20.0
28500000000.0,1.3437877192728447,RXEM1-000036,1,-20.0
28550000000.0,1.3490929401700236,RXEM1-000036,1,-20.0
28600000000.0,1.3427694289343552,RXEM1-000036,1,-20.0
28650000000.0,1.3487245955724225,RXEM1-000036,1,-20.0
28700000000.0,1.3736915148118114,RXEM1-000036,1,-20.0
28750000000.0,1.4185816877940254,RXEM1-000036,1,-20.0
28800000000.0,1.4524915071336422,RXEM1-000036,1,-20.0
28850000000.0,1.5061192122198976,RXEM1-000036,1,-20.0
28900000000.0,1.5401322706999003,RXEM1-000036,1,-20.0
28950000000.0,1.55059047381789,RXEM1-000036,1,-20.0
29000000000.0,1.53906453279214,RXEM1-000036,1,-20.0
29050000000.0,1.576565274312759,RXEM1-000036,1,-20.0
29100000000.0,1.5744701712394726,RXEM1-000036,1,-20.0
29150000000.0,1.5805192420107614,RXEM1-000036,1,-20.0
29200000000.0,1.5816485821674284,RXEM1-000036,1,-20.0
29250000000.0,1.5471248333812715,RXEM1-000036,1,-20.0
29300000000.0,1.5290600497401812,RXEM1-000036,1,-20.0
29350000000.0,1.5113663559145076,RXEM1-000036,1,-20.0
29400000000.0,1.4795613229132039,RXEM1-000036,1,-20.0
29450000000.0,1.4160881847501594,RXEM1-000036,1,-20.0
29500000000.0,1.3526150465871147,RXEM1-000036,1,-20.0
29550000000.0,1.28914190842407,RXEM1-000036,1,-20.0
29600000000.0,1.2256687702610254,RXEM1-000036,1,-20.0
29650000000.0,1.1621956320979807,RXEM1-000036,1,-20.0
29700000000.0,1.098722493934936,RXEM1-000036,1,-20.0
29750000000.0,1.0352493557718911,RXEM1-000036,1,-20.0
